求解函数 f(x1, x2) = 100(x2 - x1^2)^2 + (1 - x1)^2 的极小值
初始点: (0, 0)
收敛条件: 梯度范数 < 1.0E-4

最速下降法:
第130次迭代 f(x_i) = 0.142609720828957, x_1 = 0.623571493205884, x_2 = 0.385822632384733
第131次迭代 f(x_i) = 0.141698841200657, x_1 = 0.623570934745432, x_2 = 0.388840142949175
第132次迭代 f(x_i) = 0.140797193121843, x_1 = 0.625962101011486, x_2 = 0.388840503639881
第133次迭代 f(x_i) = 0.139904672175994, x_1 = 0.625961670198463, x_2 = 0.391827621789894
第134次迭代 f(x_i) = 0.139021090023463, x_1 = 0.628319951716208, x_2 = 0.391827868198042
第135次迭代 f(x_i) = 0.138146398564264, x_1 = 0.628319494027164, x_2 = 0.394784722946647
第136次迭代 f(x_i) = 0.137280421340012, x_1 = 0.630645616363365, x_2 = 0.394785138364217
第137次迭代 f(x_i) = 0.136423007254478, x_1 = 0.630645147298465, x_2 = 0.397712666946552
第138次迭代 f(x_i) = 0.135574033230361, x_1 = 0.632940161994540, x_2 = 0.397713061510048
第139次迭代 f(x_i) = 0.134733432073697, x_1 = 0.632939470928247, x_2 = 0.400611529691717
第140次迭代 f(x_i) = 0.133901000786401, x_1 = 0.635203837748727, x_2 = 0.400612050603318
第141次迭代 f(x_i) = 0.133076588317019, x_1 = 0.635203360375301, x_2 = 0.403482712823167
第142次迭代 f(x_i) = 0.132260108957738, x_1 = 0.637438217823421, x_2 = 0.403483078155104
第143次迭代 f(x_i) = 0.131451513419021, x_1 = 0.637437573176204, x_2 = 0.406325795631617
第144次迭代 f(x_i) = 0.130650629592703, x_1 = 0.639643526130456, x_2 = 0.406326321517985
第145次迭代 f(x_i) = 0.129857401117323, x_1 = 0.639642675941896, x_2 = 0.409141680478202
第146次迭代 f(x_i) = 0.129071648129355, x_1 = 0.641820280704230, x_2 = 0.409142328770831
第147次迭代 f(x_i) = 0.128293263813693, x_1 = 0.641819509575567, x_2 = 0.411931318477818
第148次迭代 f(x_i) = 0.127522139547604, x_1 = 0.643969452468266, x_2 = 0.411931897545895
第149次迭代 f(x_i) = 0.126758130967898, x_1 = 0.643968918619456, x_2 = 0.414695200692189
第150次迭代 f(x_i) = 0.126001201796067, x_1 = 0.646092137086485, x_2 = 0.414695658497353
第151次迭代 f(x_i) = 0.125251284433703, x_1 = 0.646091418109320, x_2 = 0.417433131457334
第152次迭代 f(x_i) = 0.124508244327084, x_1 = 0.648188153899253, x_2 = 0.417433717660886
第153次迭代 f(x_i) = 0.123771899315524, x_1 = 0.648187693099795, x_2 = 0.420146746228595
第154次迭代 f(x_i) = 0.123042217465201, x_1 = 0.650258778110631, x_2 = 0.420147063747325
第155次迭代 f(x_i) = 0.122319075379000, x_1 = 0.650258559268390, x_2 = 0.422835820033002
第156次迭代 f(x_i) = 0.121602448215233, x_1 = 0.652304693464655, x_2 = 0.422836038792352
第157次迭代 f(x_i) = 0.120892248170895, x_1 = 0.652304374267064, x_2 = 0.425500583444403
第158次迭代 f(x_i) = 0.120188367157208, x_1 = 0.654326073507245, x_2 = 0.425500823764861
第159次迭代 f(x_i) = 0.119490767952063, x_1 = 0.654325633111199, x_2 = 0.428141504155042
第160次迭代 f(x_i) = 0.118799309301772, x_1 = 0.656323498862222, x_2 = 0.428141810531250
第161次迭代 f(x_i) = 0.118114015588293, x_1 = 0.656322803340799, x_2 = 0.430758701502916
第162次迭代 f(x_i) = 0.117434711064389, x_1 = 0.658297136427260, x_2 = 0.430759230596143
第163次迭代 f(x_i) = 0.116761328012249, x_1 = 0.658296432660054, x_2 = 0.433353302162058
第164次迭代 f(x_i) = 0.116093768467147, x_1 = 0.660247821340319, x_2 = 0.433353811217883
第165次迭代 f(x_i) = 0.115431955749713, x_1 = 0.660247213848910, x_2 = 0.435925660316343
第166次迭代 f(x_i) = 0.114775806935649, x_1 = 0.662176391016508, x_2 = 0.435926071008914
第167次迭代 f(x_i) = 0.114125366348459, x_1 = 0.662175539330085, x_2 = 0.438475342436922
第168次迭代 f(x_i) = 0.113480455322849, x_1 = 0.664082574654547, x_2 = 0.438475965044424
第169次迭代 f(x_i) = 0.112840977509836, x_1 = 0.664081888794591, x_2 = 0.441003894639226
第170次迭代 f(x_i) = 0.112206884646559, x_1 = 0.665967495310041, x_2 = 0.441004377763247
第171次迭代 f(x_i) = 0.111578117184096, x_1 = 0.665966892153788, x_2 = 0.443511218095522
第172次迭代 f(x_i) = 0.110954584860321, x_1 = 0.667831399891961, x_2 = 0.443511599631836
第173次迭代 f(x_i) = 0.110336209049169, x_1 = 0.667831053504914, x_2 = 0.445997737111236
第174次迭代 f(x_i) = 0.109722991069423, x_1 = 0.669675085045404, x_2 = 0.445998058569550
第175次迭代 f(x_i) = 0.109114862221776, x_1 = 0.669674611666511, x_2 = 0.448463421391261
第176次迭代 f(x_i) = 0.108511745951674, x_1 = 0.671498389613903, x_2 = 0.448463788160711
第177次迭代 f(x_i) = 0.107913541654179, x_1 = 0.671498034063320, x_2 = 0.450909062803182
第178次迭代 f(x_i) = 0.107320237539334, x_1 = 0.673302147983564, x_2 = 0.450909363250910
第179次迭代 f(x_i) = 0.106731779148886, x_1 = 0.673301700182776, x_2 = 0.453334505518147
第180次迭代 f(x_i) = 0.106148103419198, x_1 = 0.675086536508227, x_2 = 0.453334873817046
第181次迭代 f(x_i) = 0.105569197264532, x_1 = 0.675085861838504, x_2 = 0.455739986487652
第182次迭代 f(x_i) = 0.104994948915300, x_1 = 0.676851747397622, x_2 = 0.455740494506589
第183次迭代 f(x_i) = 0.104425362644744, x_1 = 0.676850866453016, x_2 = 0.458125943994087
第184次迭代 f(x_i) = 0.103860309523132, x_1 = 0.678598169187044, x_2 = 0.458126566882152
第185次迭代 f(x_i) = 0.103299814665246, x_1 = 0.678597114987282, x_2 = 0.460492737763873
第186次迭代 f(x_i) = 0.102743728132986, x_1 = 0.680325946353039, x_2 = 0.460493441030780
第187次迭代 f(x_i) = 0.102191964731917, x_1 = 0.680325220547277, x_2 = 0.462841339081988
第188次迭代 f(x_i) = 0.101644552358922, x_1 = 0.682036194410252, x_2 = 0.462841910226882
第189次迭代 f(x_i) = 0.101101390024403, x_1 = 0.682035552394152, x_2 = 0.465171583078679
第190次迭代 f(x_i) = 0.100562470320381, x_1 = 0.683729006339253, x_2 = 0.465172068806842
第191次迭代 f(x_i) = 0.100027727444281, x_1 = 0.683728396180446, x_2 = 0.467483734325342
第192次迭代 f(x_i) = 0.099497112787080, x_1 = 0.685404492733970, x_2 = 0.467484150702857
第193次迭代 f(x_i) = 0.098970510444875, x_1 = 0.685404211035656, x_2 = 0.469778604225286
第194次迭代 f(x_i) = 0.098447942564250, x_1 = 0.687063369097724, x_2 = 0.469778777382892
第195次迭代 f(x_i) = 0.097929289084485, x_1 = 0.687063442396938, x_2 = 0.472056156490023
第196次迭代 f(x_i) = 0.097414618983590, x_1 = 0.688706067557601, x_2 = 0.472056165617333
第197次迭代 f(x_i) = 0.096903818596104, x_1 = 0.688706218197492, x_2 = 0.474316523261390
第198次迭代 f(x_i) = 0.096396875908386, x_1 = 0.690332668891170, x_2 = 0.474316383108147
第199次迭代 f(x_i) = 0.095893792521279, x_1 = 0.690332771320607, x_2 = 0.476559516908464
第200次迭代 f(x_i) = 0.095394486107199, x_1 = 0.691943278505688, x_2 = 0.476559422392555
第201次迭代 f(x_i) = 0.094898988377704, x_1 = 0.691943205928697, x_2 = 0.478785194934867
第202次迭代 f(x_i) = 0.094407215506694, x_1 = 0.693538046724003, x_2 = 0.478785301228468
第203次迭代 f(x_i) = 0.093919193282221, x_1 = 0.693537615276591, x_2 = 0.480993859335222
第204次迭代 f(x_i) = 0.093434785005073, x_1 = 0.695116840910777, x_2 = 0.480994150284678
第205次迭代 f(x_i) = 0.092953941454499, x_1 = 0.695116511707729, x_2 = 0.483186504028423
第206次迭代 f(x_i) = 0.092476642668454, x_1 = 0.696680732164536, x_2 = 0.483186740504344
第207次迭代 f(x_i) = 0.092002927541490, x_1 = 0.696680156491034, x_2 = 0.485362373347286
第208次迭代 f(x_i) = 0.091532694005556, x_1 = 0.698229359724798, x_2 = 0.485362816394821
第209次迭代 f(x_i) = 0.091065899776126, x_1 = 0.698228729472529, x_2 = 0.487522581733780
